codigo,nota
20230001,17
20230002,14
20230003,7
20230004,17
20230005,5
20230006,6
20230007,0
20230008,0
20230009,17
20230010,7
20230011,19
20230012,1
20230013,18
20230014,15
20230015,1
20230016,17
20230017,0
20230018,4
20230019,19
20230020,17
20230021,0
20230022,5
20230023,1
20230024,11
20230025,4
20230026,0
20230027,14
20230028,13
20230029,9
20230030,13
20230031,2
20230032,0
20230033,7
20230034,13
20230035,0
20230036,20
20230037,20
20230038,2
20230039,10
20230040,18
20230041,18
20230042,19
20230043,8
20230044,16
20230045,13
20230046,1
20230047,4
20230048,8
20230049,6
20230050,10
20230051,3
20230052,7
20230053,18
20230054,12
20230055,13
20230056,14
20230057,9
20230058,8
20230059,9
20230060,19
20230061,3
20230062,13
20230063,9
20230064,15
20230065,10
20230066,17
20230067,3
20230068,20
20230069,0
20230070,16
20230071,6
20230072,17
20230073,1
20230074,13
20230075,16
20230076,9
20230077,17
20230078,7
20230079,15
20230080,4
20230081,19
20230082,9
20230083,5
20230084,1
20230085,6
20230086,7
20230087,0
20230088,16
20230089,10
20230090,5
20230091,3
20230092,12
20230093,8
20230094,2
20230095,10
20230096,6
20230097,13
20230098,11
20230099,15
20230100,8
20230101,4
20230102,5
20230103,14
20230104,5
20230105,15
20230106,15
20230107,19
20230108,16
20230109,11
20230110,15
20230111,19
20230112,5
20230113,16
20230114,4
20230115,10
20230116,20
20230117,7
20230118,19
20230119,10
20230120,3
20230121,11
20230122,8
20230123,15
20230124,13
20230125,3
20230126,15
20230127,15
20230128,14
20230129,11
20230130,11
20230131,12
20230132,7
20230133,13
20230134,1
20230135,17
20230136,11
20230137,15
20230138,8
20230139,0
20230140,18
20230141,14
20230142,18
20230143,11
20230144,7
20230145,13
20230146,18
20230147,16
20230148,10
20230149,20
20230150,16
20230151,9
20230152,18
20230153,5
20230154,9
20230155,19
20230156,1
20230157,9
20230158,7
20230159,18
20230160,5
20230161,0
20230162,16
20230163,2
20230164,12
20230165,3
20230166,6
20230167,0
20230168,7
20230169,7
20230170,20
20230171,18
20230172,14
20230173,9
20230174,13
20230175,12
20230176,11
20230177,16
20230178,10
20230179,12
20230180,15
20230181,7
20230182,8
20230183,15
20230184,9
20230185,19
20230186,6
20230187,6
20230188,6
20230189,16
20230190,12
20230191,9
20230192,12
20230193,18
20230194,8
20230195,16
20230196,11
20230197,0
20230198,12
20230199,8
20230200,19
